id,sbp,spc,cla,sbc,ifc,dvn,sbd,ord,sbo,ifo,spf,fam,sbf,tri,gen,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Nepomorpha,NA,Corixidae,NA,NA,Agraptocorixa,eurynome
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateriformia,Buprestoidea,Buprestidae,NA,NA,Agrilus,arcuatus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,NA,NA,Agriotes,mancus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,NA,NA,Agriotes,ponticus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Lepidoptera,Glossata,NA,Noctuoidea,Noctuidae,NA,NA,Agrotis,repleta
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Lepidoptera,Glossata,NA,Noctuoidea,Noctuidae,NA,NA,Agrotis,segetum
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Rhaphidioptera,NA,NA,NA,Rhaphidiidae,NA,NA,Agulla,bicolor
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Rhaphidioptera,NA,NA,NA,Rhaphidiidae,NA,NA,Agulla,bractea
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Hoplophorionini,Alchisme,apicalis
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Hoplophorionini,Alchisme,virescens
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Hoplophorionini,Alchisme,grossa
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Auchenorrhyncha,NA,Membracoidea,Membracidae,Membracinae,Hoplophorionini,Alchisme,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,NA,NA,Alcidodes,affaber
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,NA,NA,Alcidodes,bubo
