"","taxon","parent_taxon"
"175","Boyeria","Aeshnidae"
"176","Basiaeschna","Aeshnidae"
"177","Gynacantha","Aeshnidae"
"178","Nasiaeschna","Aeshnidae"
"179","Oplonaeschna","Aeshnidae"
"180","Triacanthagyna",NA
"181","Petaluridae","Anisoptera"
"182","Tachopteryx","Petaluridae"
"183","Tanypteryx","Petaluridae"
"184","Gomphidae","Anisoptera"
"185","Gomphus","Gomphidae"
"186","Stylurus","Gomphidae"
"187","Aphylla","Gomphidae"
"188","Progomphus","Gomphidae"
"189","Erpetogomphus","Gomphidae"
"190","Dromogomphus","Gomphidae"
"191","Hagenius","Gomphidae"
"192","Octogomphus","Gomphidae"
"193","Ophiogomphus","Gomphidae"
"194","Stylogomphus","Gomphidae"
"195","Gomphoides","Gomphidae"
"196","Lanthus","Gomphidae"
"197","Arigomphus","Gomphidae"
"198","Libelluloidea",NA
"199","Libellulidae","Anisoptera"
"200","Pachydiplax","Libellulidae"
"201","Pantala","Libellulidae"
"202","Perithemis","Libellulidae"
"203","Plathemis","Libellulidae"
"204","Pseudoleon","Libellulidae"
"205","Tarnetrum",NA
"206","Tauriphila","Libellulidae"
"207","Tramea","Libellulidae"
"208","Williamsonia","Corduliinae"
"209","Brachymesia","Libellulidae"
"210","Brechmorhoga","Libellulidae"
"211","Cannacria",NA
"212","Cannaphila","Libellulidae"
"213","Celithemis","Libellulidae"
"214","Didymops","Macromiinae"
"215","Dorocordulia","Corduliinae"
"216","Dythemis","Libellulidae"
"217","Erythemis","Libellulidae"
"218","Erythrodiplax","Libellulidae"
"219","Helocordulia","Corduliinae"
"220","Ladona","Libellulidae"
"221","Leucorrhinia","Libellulidae"
"222","Libellula","Libellulidae"
"223","Macromia","Macromiinae"
"224","Macrothemis","Libellulidae"
"225","Nannothemis","Libellulidae"
"226","Neurocordulia","Corduliinae"
"227","Micrathyria","Libellulidae"
"228","Orthemis","Libellulidae"
"229","Somatochlora","Corduliinae"
"230","Sympetrum","Libellulidae"
"231","Tholymis","Libellulidae"
"232","Phyllothemis","Libellulidae"
"233","Macrodiplax","Libellulidae"
"234","Miathyria","Libellulidae"
"235","Lepthemis",NA
"236","Idiataphe","Libellulidae"
"237","Cordulia","Corduliinae"
"238","Scapanea","Libellulidae"
"239","Macromiidae",NA
"240","Corduliidae","Anisoptera"
"241","Platycordulia",NA
"242","Crocothemis","Libellulidae"
"243","Cordulegastroidea",NA
"244","Cordulegastridae","Anisoptera"
"245","Cordulegaster","Cordulegastridae"
"246","Epitheca","Corduliinae"
"247","Zoraena",NA
"248","Zygoptera","Odonata"
"249","Calopterygidae","Zygoptera"
"250","Agrionidae",NA
"251","Agrion",NA
"252","Hetaerina","Calopterygidae"
"253","Calopteryx","Calopterygidae"
"254","Lestidae","Zygoptera"
"255","Archilestes","Lestidae"
"256","Lestes","Lestidae"
"257","Belonia",NA
"258","Coenagrionidae","Zygoptera"
