"","taxon","parent_taxon"
"7414","Stigmachernes",NA
"7415","Sundochernes","Chernetinae"
"7416","Sundowithius","Chernetinae"
"7417","Systellochernes","Chernetinae"
"7418","Tejachernes",NA
"7419","Teratochernes","Chernetinae"
"7420","Thalassochernes","Chernetinae"
"7421","Thapsinochernes","Chernetinae"
"7422","Troglochernes","Chernetinae"
"7423","Tychochernes","Chernetinae"
"7424","Verrucachernes","Chernetinae"
"7425","Microchernes",NA
"7426","Wyochernes","Chernetinae"
"7427","Xenochernes","Chernetinae"
"7428","Withiidae","Cheliferoidea"
"7429","Afrowithius","Withiinae"
"7430","Aisthetowithius","Withiinae"
"7431","Balanowithius","Withiinae"
"7432","Beierowithius","Withiinae"
"7433","Oligowithius",NA
"7434","Cacodemonius","Withiinae"
"7435","Cryptowithius","Withiinae"
"7436","Cyrtowithius","Paragoniochernetinae"
"7437","Dolichowithius","Withiinae"
"7438","Dolichowithius",NA
"7439","Dolichowithius",NA
"7440","Ectromachernes","Paragoniochernetinae"
"7441","Hyperwithius","Withiinae"
"7442","Metawithius","Withiinae"
"7443","Metawithius",NA
"7444","Metawithius",NA
"7445","Nannowithius","Withiinae"
"7446","Myrmecowithius",NA
"7447","Neowithius","Withiinae"
"7448","Nesowithius","Withiinae"
"7449","Paragoniochernes","Paragoniochernetinae"
"7450","Parallowithius","Withiinae"
"7451","Parawithius","Withiinae"
"7452","Parawithius",NA
"7453","Parawithius",NA
"7454","Cacodemoniellus",NA
"7455","Philomaoria","Philomaoriinae"
"7456","Plesiowithius","Withiinae"
"7457","Pogonowithius","Withiinae"
"7458","Protowithius","Withiinae"
"7459","Pseudatemnus","Paragoniochernetinae"
"7460","Pseudochernes","Paragoniochernetinae"
"7461","Pycnowithius","Withiinae"
"7462","Scotowithius","Withiinae"
"7463","Sphaerowithius","Withiinae"
"7464","Sphallowithius","Withiinae"
"7465","Stenowithius","Withiinae"
"7466","Thaumatowithius","Withiinae"
"7467","Trichotowithius","Withiinae"
"7468","Tropidowithius","Withiinae"
"7469","Withius","Withiinae"
"7470","Allowithius",NA
"7471","Xenowithius",NA
"7472","Leptonetidae","Araneae"
"7473","Leptoneta","Leptonetidae"
"7474","Praniza","Gnathiidae"
"7475","Pontogeneia",NA
"7476","Pontoporeia",NA
"7477","Leucosia","Leucosiidae"
"7478","Myra","Leucosiidae"
"7479","Maja","Majidae"
"7480","Charybdis","Portunidae"
"7481","Thalamita","Portunidae"
"7482","Atergatis","Xanthidae"
"7483","Potamon","Geryonidae"
"7484","Antianthe","Membracidae"
"7485","Spissistilus","Membracidae"
"7486","Tricentrus","Membracidae"
"7487","Vanduzeea","Membracidae"
"7488","Acinopterus","Cicadellidae"
"7489","Agallia","Cicadellidae"
"7490","Ambigonalia","Cicadellidae"
"7491","Balclutha","Cicadellidae"
"7492","Balolina","Cicadellidae"
"7493","Carneocephala","Cicadellidae"
"7494","Circulifer","Cicadellidae"
"7495","Deltocephalus","Cicadellidae"
"7496","Draeculacephala","Cicadellidae"
"7497","Empoasca","Cicadellidae"
"7498","Exitianus","Cicadellidae"
"7499","Graphocephala","Cicadellidae"
"7500","Gyponana","Cicadellidae"
"7501","Kirkaldiella","Cicadellidae"
"7502","Kunzeana","Cicadellidae"
"7503","Macropsis","Cicadellidae"
"7504","Nephotettix","Cicadellidae"
"7505","Nesolina","Cicadellidae"
"7506","Nesophrosyne","Cicadellidae"
"7507","Nesophryne","Cicadellidae"
"7508","Opsius","Cicadellidae"
"7509","Protalebrella","Cicadellidae"
"7510","Scaphytopius","Cicadellidae"
"7511","Spanbergiella","Cicadellidae"
"7512","Stragania","Cicadellidae"
"7513","Zygina","Cicadellidae"
"7514","Philaenus","Philaenini"
"7515","Iolania","Cixiidae"
"7516","Oliarus","Cixiidae"
"7517","Aloha","Delphacini"
"7518","Dictyophorodelphax","Delphacini"
"7519","Kelisia","Kelisini"
"7520","Leialoha","Delphacini"
"7521","Megamelus","Delphacini"
"7522","Nesodryas","Delphacini"
"7523","Nesorestias","Delphacini"
"7524","Nesosydne","Delphacini"
"7525","Nesothoe","Delphacini"
"7526","Nothorestias","Delphacini"
"7527","Opiconsiva","Delphacini"
"7528","Peregrinus","Delphacini"
"7529","Perkinsiella","Delphacini"
"7530","Sardia","Delphacini"
"7531","Sogatella","Delphacini"
"7532","Sogatodes",NA
"7533","Tarophagus","Delphacini"
"7534","Toya","Delphacini"
"7535","Lamenia","Derbidae"
"7536","Melormenis","Flatidae"
"7537","Siphanta","Flatidae"
"7538","Acizzia","Psyllidae"
"7539","Cerotrioza","Psyllidae"
"7540","Crawforda","Psyllidae"
"7541","Diaphorina","Psyllidae"
"7542","Hemischizocranium","Psyllidae"
"7543","Heteropsylla","Psyllidae"
"7544","Hevaheva","Psyllidae"
"7545","Kuwayama","Psyllidae"
"7546","Leptynoptera","Psyllidae"
"7547","Megatrioza","Psyllidae"
"7548","Paurotriozana","Psyllidae"
"7549","Swezeyana","Psyllidae"
"7550","Trioza","Psyllidae"
"7551","Aleurodidae",NA
"7552","Aleurocanthus","Aleyrodidae"
"7553","Aleurocybotus","Aleyrodidae"
"7554","Aleurodicus","Aleyrodidae"
"7555","Aleurothrixus","Aleyrodidae"
"7556","Aleurotuberculatus","Aleyrodidae"
"7557","Aleurotulus","Aleyrodidae"
"7558","Aleyrodes","Aleyrodidae"
"7559","Aleurodes",NA
"7560","Bemisia","Aleyrodidae"
"7561","Crenidorsum","Aleyrodidae"
"7562","Dialeurodes","Aleyrodidae"
"7563","Odontaleyrodes","Aleyrodidae"
"7564","Orchamoplatus","Aleyrodidae"
"7565","Parabemisia","Aleyrodidae"
"7566","Paraleyrodes","Aleyrodidae"
"7567","Singhius","Aleyrodidae"
"7568","Siphonius","Aleyrodidae"
"7569","Trialeurodes","Aleyrodidae"
"7570","Acyrthosiphon","Aphididae"
"7571","Aphis","Aphididae"
"7572","Aulacorthum","Aphididae"
"7573","Brachycaudus","Aphididae"
"7574","Brevicoryne","Aphididae"
"7575","Capitophorus","Aphididae"
"7576","Cavariella","Aphididae"
"7577","Cerataphis","Aphididae"
"7578","Cinara","Aphididae"
"7579","Coloradoa","Aphididae"
"7580","Stephensonia",NA
"7581","Dysaphis","Aphididae"
"7582","Eriosoma","Aphididae"
"7583","Eulachnus","Aphididae"
"7584","Hayhurstia","Aphididae"
"7585","Hyperomyzus","Aphididae"
"7586","Hysteroneura","Aphididae"
"7587","Idiopterus","Aphididae"
"7588","Illinoia","Aphididae"
"7589","Lipaphis","Aphididae"
"7590","Macrosiphoniella","Aphididae"
"7591","Macrosiphum","Aphididae"
"7592","Melanaphis","Aphididae"
"7593","Myzaphis","Aphididae"
"7594","Myzus","Aphididae"
"7595","Nasonovia","Aphididae"
"7596","Neophyllaphis","Aphididae"
"7597","Neotoxoptera","Aphididae"
"7598","Ovatus","Aphididae"
"7599","Pentalonia","Aphididae"
"7600","Pleotrichophorus","Aphididae"
"7601","Reticulaphis","Aphididae"
"7602","Rhodobium","Aphididae"
"7603","Rhopalosiphoninus","Aphididae"
"7604","Rhopalosiphum","Aphididae"
"7605","Sarucallis","Aphididae"
"7606","Schizaphis","Aphididae"
"7607","Semiaphis","Aphididae"
"7608","Sipha","Aphididae"
"7609","Sitobion","Aphididae"
"7610","Therioaphis","Aphididae"
"7611","Toxoptera","Aphididae"
"7612","Tuberolachnus","Aphididae"
"7613","Uroleucon","Aphididae"
"7614","Vesiculaphis","Aphididae"
"7615","Wahlgreniella","Aphididae"
"7616","Adelgidae","Adelgoidea"
"7617","Pineus","Adelgidae"
"7618","Arctorthezia","Ortheziidae"
"7619","Orthezia","Ortheziidae"
"7620","Abgrallaspis","Diaspididae"
"7621","Andaspis","Diaspididae"
"7622","Aonidiella","Diaspididae"
"7623","Aspidiella","Diaspididae"
"7624","Aspidiotus","Diaspididae"
"7625","Aulacaspis","Diaspididae"
"7626","Carulaspis","Diaspididae"
"7627","Chionaspis","Diaspididae"
"7628","Chortinaspis","Diaspididae"
"7629","Chrysomphalus","Diaspididae"
"7630","Clavaspis","Diaspididae"
"7631","Diaspis","Diaspididae"
"7632","Duplaspidiotus","Diaspididae"
"7633","Fiorinia","Diaspididae"
"7634","Furcaspis","Diaspididae"
"7635","Furchadaspis","Diaspididae"
"7636","Genaparlatoria","Diaspididae"
"7637","Gymnaspis","Diaspididae"
"7638","Hemiberlesia","Diaspididae"
"7639","Howardia","Diaspididae"
"7640","Ischnaspis","Diaspididae"
"7641","Kuwanaspis","Diaspididae"
"7642","Lepidosaphes","Diaspididae"
"7643","Lindingaspis","Diaspididae"
"7644","Lopholeucaspis","Diaspididae"
"7645","Melanaspis","Diaspididae"
"7646","Morganella","Diaspididae"
"7647","Neopinnaspis","Diaspididae"
"7648","Oceanaspidiotus","Diaspididae"
"7649","Odonaspis","Diaspididae"
"7650","Parlatoria","Diaspididae"
"7651","Pinnaspis","Diaspididae"
"7652","Pseudaulacaspis","Diaspididae"
"7653","Pseudischnaspis","Diaspididae"
"7654","Radionaspis","Diaspididae"
"7655","Thysanofiorinia","Diaspididae"
"7656","Antecerococcus","Coccidae"
"7657","Ceroplastes","Coccidae"
"7658","Coccus","Coccidae"
"7659","Eucalymnatus","Coccidae"
"7660","Kilifia","Coccidae"
"7661","Lecanium","Coccidae"
"7662","Parasaissetia","Coccidae"
"7663","Protopulvinaria","Coccidae"
"7664","Pulvinaria","Coccidae"
"7665","Saissetia","Coccidae"
"7666","Antonina","Pseudococcidae"
"7667","Brevennia","Pseudococcidae"
"7668","Chaetococcus","Pseudococcidae"
"7669","Chlorococcus","Pseudococcidae"
"7670","Chlorizococcus","Pseudococcidae"
"7671","Clavicoccus","Pseudococcidae"
"7672","Dysmicoccus","Pseudococcidae"
"7673","Ferrisia","Pseudococcidae"
"7674","Gallulacoccus","Pseudococcidae"
"7675","Geococcus","Pseudococcidae"
"7676","Laminicoccus","Pseudococcidae"
"7677","Maconellicoccus","Pseudococcidae"
"7678","Nesococcus","Pseudococcidae"
"7679","Nesopedronia","Pseudococcidae"
"7680","Nipaecoccus","Pseudococcidae"
"7681","Ohiacoccus","Pseudococcidae"
"7682","Palmicultor","Pseudococcidae"
"7683","Phyllococcus","Pseudococcidae"
"7684","Planococcus","Pseudococcidae"
"7685","Pseudococcus","Pseudococcidae"
"7686","Pseudotrionymus","Pseudococcidae"
"7687","Rhizoecus","Pseudococcidae"
"7688","Saccharicoccus","Pseudococcidae"
"7689","Tomentocera","Pseudococcidae"
"7690","Trionymus","Pseudococcidae"
"7691","Tympanococcus","Pseudococcidae"
"7692","Acanthococcus","Eriococcidae"
"7693","Eriococcus","Eriococcidae"
"7694","Dactylopius","Dactylopiidae"
"7695","Pseudoparlatoria","Dactylopiidae"
"7696","Conchaspididae","Coccoidea"
"7697","Conchaspis","Conchaspididae"
"7698","Rhadine","Platynini"
"7699","Eridaulus",NA
"7700","Macrocis",NA
"7701","Xestocis",NA
"7702","Sphindocis","Sphindociinae"
"7703","Ennearthron","Ciinae"
"7704","Dolichocis","Ciinae"
"7705","Orthocis","Ciinae"
"7706","Mellieicis",NA
"7707","Strigocis","Ciinae"
"7708","Hadraule","Ciinae"
"7709","Maphoca",NA
"7710","Maphaea",NA
"7711","Diphyllocis",NA
"7712","Pityocis",NA
"7713","Knablia",NA
"7714","Plesiocis","Ciinae"
"7715","Ceracis","Ciinae"
"7716","Sulcacis","Ciinae"
"7717","Entypus",NA
"7718","Entypocis",NA
"7719","Malacocis","Ciinae"
"7720","Brachycis",NA
"7721","Rhopalodontus","Ciinae"
"7722","Ropalodontus",NA
"7723","Octotemnus","Ciinae"
"7724","Desmocerus","Desmocerini"
"7725","Apodemia","Emesiini"
"7726","Chrysobia",NA
"7727","Polystigma",NA
"7728","Neonympha","Euptychiina"
"7729","Euptychia",NA
"7730","Euphydryas","Euphydryina"
"7731","Euproserpinus","Macroglossini"
"7732","Melanophora",NA
"7733","Animalia",NA
"7734","Phalangodidae","Opiliones"
"7735","Texella","Phalangodidae"
"7736","Acanthopus",NA
"7737","Alcippe",NA
"7738","Allienacanthomysis",NA
"7739","Gnathioidea",NA
"7740","Acherusia",NA
"7741","Astacillidae",NA
"7742","Antarcturus","Antarcturidae"
"7743","Pseudophthalmus",NA
"7744","Araneops",NA
"7745","Tetromatus",NA
"7746","Byblisoides","Ampeliscidae"
"7747","Afrogitanopsis","Amphilochidae"
"7748","Amphilochella","Amphilochidae"
"7749","Peramphithoe","Ampithoidae"
"7750","Amphithoides","Ampithoidae"
"7751","Amphitholina","Ampithoidae"
"7752","Plumithoe","Ampithoidae"
"7753","Aetiopedes","Corophiidae"
"7754","Africoecetes","Corophiidae"
"7755","Aloiloi","Aoridae"
"7756","Anonychocheirus","Corophiidae"
"7757","Aorcho","Corophiidae"
"7758","Aorchoides","Corophiidae"
"7759","Aorella","Corophiidae"
"7760","Archaeobemlos","Corophiidae"
"7761","Arctolembos","Aoridae"
"7762","Arculfia","Corophiidae"
"7763","Audulla","Isaeidae"
"7764","Australoecetes","Corophiidae"
"7765","Australomicrodeutopus","Corophiidae"
"7766","Autonoe","Aoridae"
"7767","Baracuma","Corophiidae"
"7768","Bathyphotis","Corophiidae"
"7769","Bemlos","Aoridae"
"7770","Bogenfelsia","Corophiidae"
"7771","Borneoecetes","Corophiidae"
"7772","Bubocorophium","Corophiidae"
"7773","Camacho","Corophiidae"
"7774","Caribboecetes","Corophiidae"
"7775","Bircenna","Eophliantidae"
"7776","Abdia","Eusiridae"
"7777","Antarctogeneia","Eusiridae"
"7778","Atyloella","Eusiridae"
"7779","Atylopsis","Eusiridae"
"7780","Bouvierella","Calliopiidae"
"7781","Bovallia","Eusiridae"
"7782","Abludomelita","Melitidae"
"7783","Allomelita","Gammaridae"
"7784","Anamoera","Gammaridae"
"7785","Anchialella","Gammaridae"
"7786","Anelasmopus","Gammaridae"
"7787","Animoceradocus","Gammaridae"
"7788","Aurohornellia","Gammaridae"
"7789","Bathyceradocus","Gammaridae"
"7790","Beaudettia","Gammaridae"
"7791","Bellia",NA
"7792","Bathyporeiapus","Haustoriidae"
"7793","Aspidophoreta",NA
"7794","Micropythia","Hyalidae"
"7795","Acheronia","Lysianassidae"
"7796","Acontiostoma","Lysianassidae"
"7797","Adeliella","Lysianassidae"
"7798","Alicella","Lysianassidae"
"7799","Amaryllis","Lysianassidae"
"7800","Amaryllis",NA
"7801","Ambasia","Lysianassidae"
"7802","Ambasiopsis","Lysianassidae"
"7803","Stomacontion","Lysianassidae"
"7804","Scolopostoma","Lysianassidae"
"7805","Kakanui","Lysianassidae"
"7806","Cedrosella","Lysianassidae"
"7807","Aroui","Scopelocheiridae"
"7808","Aruga","Lysianassidae"
"7809","Arugella","Lysianassidae"
"7810","Azotostoma","Lysianassidae"
"7811","Bathyschraderia","Lysianassidae"
"7812","Bonassa","Lysianassidae"
"7813","Bruunosa","Lysianassidae"
"7814","Caeconyx","Lysianassidae"
"7815","Aceropsis",NA
"7816","Patoides",NA
"7817","Aborolobatea","Oedicerotidae"
"7818","Anoediceros","Oedicerotidae"
"7819","Acanthopleustes",NA
"7820","Antronicippe","Pardaliscidae"
"7821","Basuto","Phoxocephalidae"
"7822","Birubius","Phoxocephalidae"
"7823","Booranus","Phoxocephalidae"
"7824","Brolgus","Phoxocephalidae"
"7825","Arctopleustes","Pleustidae"
"7826","Austropleustes","Pleustidae"
"7827","Andaniella","Stegocephalidae"
"7828","Andaniotes","Stegocephalidae"
"7829","Bathystegocephalus","Stegocephalidae"
"7830","Antatelson","Stenothoidae"
"7831","Aurometopa","Stenothoidae"
"7832","Ausatelson","Stenothoidae"
"7833","Bathypanoploea","Stilipedidae"
"7834","Pseudiphimediopsis",NA
"7835","Astyroides","Stilipedidae"
"7836","Austrosyrrhoe","Synopiidae"
"7837","Bruzeliopsis","Synopiidae"
"7838","Acanthonotozomellidae","Gammaridea"
"7839","Acanthonotozomella","Acanthonotozomellidae"
"7840","Acanthonotozomoides","Acanthonotozomellidae"
"7841","Acanthonotozomopsis","Acanthonotozomellidae"
"7842","Amatiquakius","Acanthonotozomellidae"
"7843","Epimeriidae","Gammaridea"
"7844","Actinacanthus","Epimeriidae"
"7845","Iphimediidae","Gammaridea"
"7846","Anchiphimedia","Iphimediidae"
"7847","Anisoiphimedia","Iphimediidae"
"7848","Cyproideidae","Gammaridea"
"7849","Austropheonoides","Cyproideidae"
"7850","Gammarellidae","Gammaridea"
"7851","Austroregia","Gammarellidae"
"7852","Anisogammaridae","Gammaridea"
"7853","Barrowgammarus","Anisogammaridae"
"7854","Biancolinidae","Gammaridea"
"7855","Bolttsiidae","Gammaridea"
"7856","Bolttsia","Bolttsiidae"
"7857","Zobrachoidae","Gammaridea"
"7858","Bumeralius","Zobrachoidae"
"7859","Urothoidae","Gammaridea"
"7860","Carangoliopsidae","Gammaridea"
"7861","Carangoliopsis","Carangoliopsidae"
"7862","Cardenioidae","Gammaridea"
"7863","Cardenio","Cardenioidae"
"7864","Acysta","Tingitini"
"7865","Actinocoris","Stenodemini"
"7866","Acronopsyche",NA
"7867","Algonquina",NA
"7868","Acrocentropus",NA
"7869","Agonismus",NA
"7870","Aeschynomene",NA
"7871","Alexandriaria",NA
"7872","Amalopis",NA
"7873","Amalopis",NA
"7874","Aglamyia",NA
"7875","Acadia",NA
"7876","Adiamesa",NA
"7877","Adelidea",NA
"7878","Allocotus",NA
"7879","Acreotrichus",NA
"7880","Agonosoma",NA
"7881","Aciura","Tephritidae"
"7882","Aleomyia",NA
"7883","Aleomyia",NA
"7884","Aciura",NA
"7885","Aciura",NA
"7886","Aldrichiella",NA
"7887","Acrometopia",NA
"7888","Achaetomus",NA
"7889","Actora",NA
"7890","Aecothea",NA
"7891","Allophyla",NA
"7892","Acicephala",NA
"7893","Acroptena",NA
"7894","Acritochaeta",NA
"7895","Allognotha",NA
"7896","Alysia","Braconidae"
"7897","Alysia",NA
"7898","Alysia",NA
"7899","Peneus",NA
"7900","Philonicus",NA
"7901","Gomatonotus",NA
"7902","Gnatophyllum",NA
"7903","Ogyris",NA
"7904","Xiphocaris","Atyidae"
"7905","Enoplometopidae","Enoplometopoidea"
"7906","Deidamia",NA
"7907","Calliax","Eucalliinae"
"7908","Cenobites",NA
"7909","Diptychus",NA
"7910","Aethogebia","Upogebiidae"
"7911","Pomatogebia","Upogebiidae"
"7912","Apocremnus",NA
"7913","Anomalopus",NA
"7914","Chlorodius",NA
"7915","Pseudopinnixa",NA
"7916","Acanthopus",NA
"7917","Philonicus",NA
"7918","Philonicus",NA
"7919","Apocremnus",NA
"7920","Apocremnus",NA
"7921","Dromiacea",NA
"7922","Rhombognathides","Halacaridae"
"7923","Centrolimnesia","Limnesiidae"
"7924","Mammersellides",NA
"7925","Polycopsis","Polycopidae"
"7926","Bythocythere","Bythocytheridae"
"7927","Mesocalanus","Calanidae"
"7928","Canthocalanus","Calanidae"
"7929","Cosmocalanus","Calanidae"
"7930","Augaptilina","Augaptilidae"
"7931","Subeucalanidae",NA
"7932","Subeucalanus","Eucalanidae"
"7933","Ectinosoma",NA
"7934","Eupelte","Peltidiidae"
"7935","Tachidiella","Tisbidae"
"7936","Dactylopusia","Thalestridae"
"7937","Misophria","Misophriidae"
"7938","Dyspontius","Artotrogidae"
"7939","Micropontius","Micropontiidae"
"7940","Myzopontius","Artotrogidae"
"7941","Archinotodelphyidae","Cyclopoida"
"7942","Notodelphys","Notodelphyidae"
"7943","Thaumaleus","Monstrillidae"
"7944","Anelasma","Anelasmatidae"
"7945","Elminius","Balanidae"
"7946","Galatheascus","Peltogastridae"
"7947","Septosaccus","Peltogastridae"
"7948","Tortugaster","Peltogastridae"
"7949","Parthenopea","Lernaeodiscidae"
"7950","Triangulus","Lernaeodiscidae"
"7951","Boschmaella","Chthamalophilidae"
"7952","Hodometrica","Pagurapseudidae"
"7953","Malacanthura","Anthuridae"
"7954","Entoniscus","Entoniscidae"
"7955","Oniscus","Oniscidae"
"7956","Hoplopheonoides","Cyproideidae"
"7957","Aoroides","Aoridae"
"7958","Concholestes","Corophiidae"
"7959","Unciolella","Corophiidae"
"7960","Melphidippella","Melphidippidae"
"7961","Exoediceros","Exoedicerotidae"
"7962","Procloeon","Baetidae"
"7963","Stylurus",NA
"7964","Tyloderma","Curculionidae"
"7965","Alotanypus","Coelotanypodini"
"7966","Fittkauimyia","Coelotanypodini"
"7967","Leptochironomus",NA
"7968","Apedilum","Chironomini"
"7969","Beardius","Chironomini"
"7970","Pseudacteon",NA
"7971","Sergestoidea","Dendrobranchiata"
"7972","Astacidea","Pleocyemata"
"7973","Nephropoidea","Astacidea"
"7974","Enoplometopoidea","Astacidea"
"7975","Thalassinidea","Pleocyemata"
"7976","Thalassinoidea","Thalassinidea"
"7977","Atyoidea","Caridea"
"7978","Stylodactyloidea","Caridea"
"7979","Pasiphaeoidea","Caridea"
"7980","Rhynchocinetoidea",NA
"7981","Palaemonoidea","Caridea"
"7982","Psalidopodoidea","Caridea"
"7983","Alpheoidea","Caridea"
"7984","Pandaloidea","Caridea"
"7985","Crangonoidea","Caridea"
"7986","Eryonoidea","Palinura"
"7987","Palinuroidea","Palinura"
"7988","Paguroidea","Anomura"
"7989","Galatheoidea","Anomura"
"7990","Hippoidea","Anomura"
"7991","Archaeobrachyura",NA
"7992","Cyclodorippoidea","Brachyura"
"7993","Homoloidea","Brachyura"
"7994","Raninoidea","Brachyura"
"7995","Dorippoidea","Brachyura"
"7996","Leucosioidea","Brachyura"
"7997","Majoidea","Brachyura"
"7998","Parthenopoidea","Brachyura"
"7999","Cancroidea","Brachyura"
"8000","Portunoidea","Brachyura"
"8001","Xanthoidea","Brachyura"
"8002","Grapsoidea","Brachyura"
"8003","Pinnotheroidea","Brachyura"
"8004","Ocypodoidea","Brachyura"
"8005","Cryptochiroidea","Brachyura"
"8006","Hamatoscalpellum","Scalpellidae"
"8007","Parametaphoxus","Phoxocephalidae"
"8008","Eryonidae","Eryonoidea"
"8009","Eryon","Eryonidae"
"8010","Unipeltata","Stomatopoda"
"8011","Bathysquilloidea","Unipeltata"
"8012","Bathysquillidae","Bathysquilloidea"
"8013","Gonodactyloidea","Unipeltata"
"8014","Hemisquillidae","Gonodactyloidea"
"8015","Protosquillidae","Gonodactyloidea"
"8016","Squilloidea","Unipeltata"
"8017","Harpiosquillidae",NA
"8018","Lysiosquilloidea","Unipeltata"
"8019","Coronididae","Lysiosquilloidea"
"8020","Luciferidae","Sergestoidea"
"8021","Eryoneicus",NA
"8022","Phreatoicidea","Isopoda"
"8023","Argathonidae",NA
"8024","Bathynomidae",NA
"8025","Aselloidea","Asellota"
"8026","Stenetrioidea","Asellota"
"8027","Janiroidea","Asellota"
"8028","Abyssianiridae",NA
"8029","Acanthomunnopsidae",NA
"8030","Janierellidae",NA
"8031","Microsomatidae",NA
"8032","Gnathostenetroidoidea","Asellota"
"8033","Protallocoxoidea",NA
"8034","Protallocoxidae",NA
"8035","Nichollsidae",NA
"8036","Tylomorpha","Oniscidea"
"8037","Ligiamorpha","Oniscidea"
"8038","Mesoniscidae","Ligiamorpha"
"8039","Buddelundiellidae","Trichoniscoidea"
"8040","Trichoniscidae","Trichoniscoidea"
"8041","Schoebliidae","Styloniscoidea"
"8042","Styloniscidae","Styloniscoidea"
"8043","Titaniidae","Styloniscoidea"
"8044","Turanoniscidae","Styloniscoidea"
"8045","Bathytropidae","Oniscoidea"
"8046","Berytoniscidae","Oniscoidea"
"8047","Detonidae","Oniscoidea"
"8048","Halophilosciidae","Oniscoidea"
"8049","Olibrinidae","Oniscoidea"
"8050","Platyarthridae","Oniscoidea"
"8051","Pudeoniscidae","Oniscoidea"
"8052","Rhyscotidae","Oniscoidea"
"8053","Spelaeoniscidae","Oniscoidea"
"8054","Sphaeroniscidae","Oniscoidea"
"8055","Stenoniscidae","Oniscoidea"
"8056","Tendosphaeridae","Oniscoidea"
"8057","Actaeciidae","Armadilloidea"
"8058","Armadillidae","Armadilloidea"
"8059","Atlantidiidae","Armadilloidea"
"8060","Balloniscidae","Armadilloidea"
"8061","Cylisticidae","Armadilloidea"
"8062","Eubelidae","Armadilloidea"
"8063","Periscyphicidae","Armadilloidea"
"8064","Porcellionidae","Armadilloidea"
"8065","Trachelipodidae","Armadilloidea"
"8066","Leptostraca","Phyllocarida"
"8067","Calabozoidea",NA
"8068","Acanthaspidiidae","Janiroidea"
"8069","Amesopodidae",NA
"8070","Amphisopodidae","Phreatoicidea"
"8071","Ancinidae","Flabellifera"
"8072","Antheluridae","Anthuridea"
"8073","Atlantasellidae","Microcerberidea"
"8074","Austrarcturellidae","Valvifera"
"8075","Bathynataliidae","Flabellifera"
"8076","Calabozoidae","Calabozoida"
"8077","Dendrotiidae","Janiroidea"
"8078","Hadromastacidae","Flabellifera"
"8079","Haplomunnidae","Janiroidea"
"8080","Holognathidae","Valvifera"
"8081","Janirellidae","Janiroidea"
"8082","Joeropsidae",NA
"8083","Katianiridae","Janiroidea"
"8084","Keuphyliidae","Flabellifera"
"8085","Microparasellidae","Janiroidea"
"8086","Mictosomatidae","Janiroidea"
"8087","Nichollsiidae",NA
"8088","Phoratopodidae","Flabellifera"
"8089","Phreatoicidae","Phreatoicidea"
"8090","Phreatoicopsidae",NA
"8091","Plakarthriidae","Flabellifera"
"8092","Pleurogoniidae",NA
"8093","Protognathiidae","Flabellifera"
"8094","Protojaniridae","Gnathostenetroidoidea"
"8095","Pseudidotheidae","Valvifera"
"8096","Pseudojaniridae","Stenetrioidea"
"8097","Pseudomesidae",NA
"8098","Tecticipitidae","Flabellifera"
"8099","Vermectiadidae","Gnathostenetroidoidea"
"8100","Xenarcturidae","Valvifera"
"8101","Aatolana","Cirolanidae"
"8102","Abyssaranea","Haplomunnidae"
"8103","Abyssarcturella","Austrarcturellidae"
"8104","Abyssianira","Santiidae"
"8105","Abyssoniscus","Haploniscidae"
"8106","Acanthamunnopsis","Munnopsidae"
"8107","Acantharcturus","Arcturidae"
"8108","Acanthaspidia","Acanthaspidiidae"
"8109","Acanthastenasellus","Stenasellidae"
"8110","Acanthocope","Munnopsidae"
"8111","Acanthoserolis","Serolidae"
"8112","Acrobelione","Bopyridae"
"8113","Acutiserolis","Serolidae"
"8114","Acutomunna","Paramunnidae"
"8115","Aenigmathura","Leptanthuridae"
"8116","Afrocerberus","Microcerberidae"
"8117","Agarna","Cymothoidae"
"8118","Agostodina","Sphaeromatidae"
"8119","Agularcturus","Arcturidae"
"8120","Albanthura","Leptanthuridae"
"8121","Alitropus","Aegidae"
"8122","Alloanthura","Anthuridae"
"8123","Allobopyrus","Bopyridae"
"8124","Allokepon","Bopyridae"
"8125","Allorbimorphus","Bopyridae"
"8126","Allorostrata","Paramunnidae"
"8127","Amakusanthura","Anthuridae"
"8128","Amblycephalon","Cymothoidae"
"8129","Amesopous","Arcturidae"
"8130","Amphisopus","Amphisopodidae"
"8131","Amphoroidella","Sphaeromatidae"
"8132","Amuletta","Munnopsidae"
"8133","Anacepon","Bopyridae"
"8134","Ananthura","Antheluridae"
"8135","Anathelges","Bopyridae"
"8136","Anchiarthrus","Bopyridae"
"8137","Angliera","Microparasellidae"
"8138","Anisarthrus","Bopyridae"
"8139","Anisorbione","Bopyridae"
"8140","Anneckella","Gnathostenetroididae"
"8141","Annina","Cirolanidae"
"8142","Anomophryxus","Bopyridae"
"8143","Anoplocopea","Sphaeromatidae"
"8144","Anopsilana","Cirolanidae"
"8145","Antennuloniscus","Haploniscidae"
"8146","Antennulosignum","Paramunnidae"
"8147","Anthelura","Antheluridae"
"8148","Anthomuda","Antheluridae"
"8149","Apanthuroides","Anthuridae"
"8150","Apanthuropsis","Anthuridae"
"8151","Apemosphaera","Sphaeromatidae"
"8152","Apocepon","Bopyridae"
"8153","Apophrixus","Bopyridae"
